Sample	Site	Species	SiteSpecies	Geno	Temp	Replicate	FvFm
KA1-30A	AlFahal	Acropora	KA	1	30	A	0.589
KA2-30A	AlFahal	Acropora	KA	2	30	A	0.581
KA3-30A	AlFahal	Acropora	KA	3	30	A	0.585
KA4-30A	AlFahal	Acropora	KA	4	30	A	0.594
KA5-30A	AlFahal	Acropora	KA	5	30	A	0.524
KA6-30A	AlFahal	Acropora	KA	6	30	A	0.574
KA7-30A	AlFahal	Acropora	KA	7	30	A	0.573
KA1-30B	AlFahal	Acropora	KA	1	30	B	0.582
KA2-30B	AlFahal	Acropora	KA	2	30	B	0.593
KA3-30B	AlFahal	Acropora	KA	3	30	B	0.545
KA4-30B	AlFahal	Acropora	KA	4	30	B	0.531
KA5-30B	AlFahal	Acropora	KA	5	30	B	0.568
KA6-30B	AlFahal	Acropora	KA	6	30	B	0.618
KA7-30B	AlFahal	Acropora	KA	7	30	B	0.555
KA1-33A	AlFahal	Acropora	KA	1	33	A	0.45
KA2-33A	AlFahal	Acropora	KA	2	33	A	0.543
KA3-33A	AlFahal	Acropora	KA	3	33	A	0.475
KA4-33A	AlFahal	Acropora	KA	4	33	A	0.573
KA5-33A	AlFahal	Acropora	KA	5	33	A	0.512
KA6-33A	AlFahal	Acropora	KA	6	33	A	0.53
KA7-33A	AlFahal	Acropora	KA	7	33	A	0.505
KA1-33B	AlFahal	Acropora	KA	1	33	B	0.6
KA2-33B	AlFahal	Acropora	KA	2	33	B	0.536
KA3-33B	AlFahal	Acropora	KA	3	33	B	0.264
KA4-33B	AlFahal	Acropora	KA	4	33	B	0.586
KA5-33B	AlFahal	Acropora	KA	5	33	B	0.479
KA6-33B	AlFahal	Acropora	KA	6	33	B	0.586
KA7-33B	AlFahal	Acropora	KA	7	33	B	0.537
KA1-36A	AlFahal	Acropora	KA	1	36	A	0.505
KA2-36A	AlFahal	Acropora	KA	2	36	A	0.585
KA3-36A	AlFahal	Acropora	KA	3	36	A	0.487
KA4-36A	AlFahal	Acropora	KA	4	36	A	0.484
KA5-36A	AlFahal	Acropora	KA	5	36	A	0.519
KA6-36A	AlFahal	Acropora	KA	6	36	A	0.591
KA7-36A	AlFahal	Acropora	KA	7	36	A	0.458
KA1-36B	AlFahal	Acropora	KA	1	36	B	0.484
KA2-36B	AlFahal	Acropora	KA	2	36	B	0.497
KA3-36B	AlFahal	Acropora	KA	3	36	B	0.427
KA4-36B	AlFahal	Acropora	KA	4	36	B	0.432
KA5-36B	AlFahal	Acropora	KA	5	36	B	0.498
KA6-36B	AlFahal	Acropora	KA	6	36	B	0.575
KA7-36B	AlFahal	Acropora	KA	7	36	B	0.513
KA1-39A	AlFahal	Acropora	KA	1	39	A	0.098
KA2-39A	AlFahal	Acropora	KA	2	39	A	0.058
KA3-39A	AlFahal	Acropora	KA	3	39	A	0.034
KA4-39A	AlFahal	Acropora	KA	4	39	A	0.188
KA5-39A	AlFahal	Acropora	KA	5	39	A	0.09
KA6-39A	AlFahal	Acropora	KA	6	39	A	0.04
KA7-39A	AlFahal	Acropora	KA	7	39	A	0.115
KA1-39B	AlFahal	Acropora	KA	1	39	B	0.033
KA2-39B	AlFahal	Acropora	KA	2	39	B	0.008
KA3-39B	AlFahal	Acropora	KA	3	39	B	0.025
KA4-39B	AlFahal	Acropora	KA	4	39	B	0.026
KA5-39B	AlFahal	Acropora	KA	5	39	B	0.077
KA6-39B	AlFahal	Acropora	KA	6	39	B	0.031
KA7-39B	AlFahal	Acropora	KA	7	39	B	0.016
KP1-30A	AlFahal	Pocillopora	KP	1	30	A	0.609
KP2-30A	AlFahal	Pocillopora	KP	2	30	A	0.59
KP3-30A	AlFahal	Pocillopora	KP	3	30	A	0.594
KP4-30A	AlFahal	Pocillopora	KP	4	30	A	0.603
KP5-30A	AlFahal	Pocillopora	KP	5	30	A	0.595
KP6-30A	AlFahal	Pocillopora	KP	6	30	A	0.56
KP7-30A	AlFahal	Pocillopora	KP	7	30	A	0.591
KP1-30B	AlFahal	Pocillopora	KP	1	30	B	0.584
KP2-30B	AlFahal	Pocillopora	KP	2	30	B	0.617
KP3-30B	AlFahal	Pocillopora	KP	3	30	B	0.64
KP4-30B	AlFahal	Pocillopora	KP	4	30	B	0.609
KP5-30B	AlFahal	Pocillopora	KP	5	30	B	0.603
KP6-30B	AlFahal	Pocillopora	KP	6	30	B	0.616
KP7-30B	AlFahal	Pocillopora	KP	7	30	B	0.565
KP1-33A	AlFahal	Pocillopora	KP	1	33	A	0.378
KP2-33A	AlFahal	Pocillopora	KP	2	33	A	0.574
KP3-33A	AlFahal	Pocillopora	KP	3	33	A	0.59
KP4-33A	AlFahal	Pocillopora	KP	4	33	A	0.501
KP5-33A	AlFahal	Pocillopora	KP	5	33	A	0.548
KP6-33A	AlFahal	Pocillopora	KP	6	33	A	0.528
KP7-33A	AlFahal	Pocillopora	KP	7	33	A	0.476
KP1-33B	AlFahal	Pocillopora	KP	1	33	B	0.372
KP2-33B	AlFahal	Pocillopora	KP	2	33	B	0.433
KP3-33B	AlFahal	Pocillopora	KP	3	33	B	0.511
KP4-33B	AlFahal	Pocillopora	KP	4	33	B	0.5
KP5-33B	AlFahal	Pocillopora	KP	5	33	B	0.489
