Colony,Fv/Fm=Y,ranking,heat_class
28,0.6953685,1,High
19,0.679172333,2,High
13,0.673386333,3,High
3,0.660254167,4,High
15,0.64476,5,High
23,0.608235,6,High
7,0.600842833,7,Intermediate
1,0.579559333,8,Intermediate
12,0.5291055,9,Intermediate
18,0.464421833,10,Intermediate
14,0.451996667,11,Intermediate
16,0.436597833,12,Intermediate
20,0.4318775,13,Intermediate
11,0.424531833,14,Intermediate
17,0.418419833,15,Intermediate
22,0.417655167,16,Intermediate
25,0.363739167,17,Intermediate
10,0.260838333,18,Intermediate
29,0.2247745,19,Intermediate
24,0.200359,20,Intermediate
26,0.152011,21,Intermediate
2,0,22,Intermediate
4,0,23,Intermediate
5,0,24,Intermediate
6,0,25,Low
8,0,26,Low
9,0,27,Low
21,0,28,Low
27,0,29,Low
30,0,30,Low
